Date,Time_Period,Cluster0,Cluster1,Cluster2,Cluster3,Cluster4,Cluster5,C0D-1HA,C0D-2HA,C0D-3HA,C0D-4HA,C1D-1HA,C1D-2HA,C1D-3HA,C1D-4HA,C2D-1HA,C2D-2HA,C2D-3HA,C2D-4HA,C3D-1HA,C3D-2HA,C3D-3HA,C3D-4HA,C4D-1HA,C4D-2HA,C4D-3HA,C4D-4HA,C5D-1HA,C5D-2HA,C5D-3HA,C5D-4HA,Total_Accidents,Temp (°C),Dew Point Temp (°C),Rel Hum (%),Wind Dir (10s deg),Wind Spd (km/h),Visibility (km),Stn Press (kPa),Day_Of_Week,Is_Weekend,Is_Holiday
2022-12-01,0,1,1,1,1,1,1,5.0,2.0,0.0,1.0,3.0,2.0,2.0,0.0,3.0,0.0,1.0,0.0,4.0,1.0,1.0,0.0,8.0,3.0,0.0,0.0,6.0,1.0,2.0,0.0,19,0.0230000000000002,-24.9,72.16666666666667,18.5,13.666666666666666,10.6,87.94333333333334,3,0,0
2022-12-01,1,1,1,1,1,1,1,3.0,0.0,2.0,1.0,1.0,1.0,3.0,1.0,5.0,2.0,3.0,7.0,6.0,2.0,0.0,1.0,4.0,2.0,1.0,0.0,8.0,1.0,1.0,4.0,22,1.3736666666666673,-25.95,65.5,3.333333333333333,8.666666666666666,24.100000000000005,87.90333333333335,3,0,0
2022-12-01,2,0,1,1,1,0,1,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,1.0,0.0,1.0,0.0,3.0,0.0,0.0,11,0.3746666666666662,-26.08333333333333,75.83333333333333,18.33333333333333,6.833333333333333,17.96666666666667,88.10833333333333,3,0,0
2022-12-01,3,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1,0.0106666666666666,-24.433333333333334,72.5,33.833333333333336,18.666666666666668,20.883333333333336,88.02166666666666,3,0,0
2022-12-02,0,1,1,1,1,1,1,2.0,5.0,2.0,0.0,1.0,3.0,2.0,2.0,3.0,3.0,0.0,1.0,4.0,4.0,1.0,1.0,2.0,8.0,3.0,0.0,7.0,6.0,1.0,2.0,15,4.509666666666668,-25.58333333333333,65.0,31.666666666666668,9.666666666666666,45.6,88.80666666666667,4,0,0
2022-12-02,1,1,1,1,1,1,1,5.0,3.0,0.0,2.0,2.0,1.0,1.0,3.0,2.0,5.0,2.0,3.0,5.0,6.0,2.0,0.0,1.0,4.0,2.0,1.0,7.0,8.0,1.0,1.0,20,0.3136666666666661,-23.35,55.66666666666666,19.83333333333333,5.0,37.55,88.985,4,0,0
2022-12-02,2,0,1,1,0,1,1,0.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,3.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,5.0,0.0,3.0,0.0,4,0.1866666666666658,-22.3,66.33333333333333,16.833333333333332,9.166666666666666,24.100000000000005,88.96666666666665,4,0,0
2022-12-02,3,0,0,1,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.3896666666666669,-26.566666666666663,74.83333333333333,27.33333333333333,7.0,21.433333333333337,88.41000000000001,4,0,0
2022-12-03,0,1,0,0,0,0,1,5.0,2.0,5.0,2.0,2.0,1.0,3.0,2.0,1.0,3.0,3.0,0.0,1.0,4.0,4.0,1.0,2.0,2.0,8.0,3.0,4.0,7.0,6.0,1.0,2,44.176,-18.433333333333334,49.66666666666666,24.33333333333333,19.33333333333333,48.28333333333334,88.755,5,1,0
2022-12-03,1,1,0,1,0,1,1,1.0,5.0,3.0,0.0,2.0,2.0,1.0,1.0,6.0,2.0,5.0,2.0,6.0,5.0,6.0,2.0,1.0,1.0,4.0,2.0,4.0,7.0,8.0,1.0,6,16.026666666666664,-16.400000000000002,40.16666666666666,18.5,21.33333333333333,49.63333333333333,88.93666666666667,5,1,0
