Date,Time_Period,Cluster0,Cluster1,Cluster2,Cluster3,Cluster4,Cluster5,C0D-1HA,C0D-2HA,C0D-3HA,C0D-4HA,C1D-1HA,C1D-2HA,C1D-3HA,C1D-4HA,C2D-1HA,C2D-2HA,C2D-3HA,C2D-4HA,C3D-1HA,C3D-2HA,C3D-3HA,C3D-4HA,C4D-1HA,C4D-2HA,C4D-3HA,C4D-4HA,C5D-1HA,C5D-2HA,C5D-3HA,C5D-4HA,Total_Accidents,Temp (°C),Dew Point Temp (°C),Rel Hum (%),Wind Dir (10s deg),Wind Spd (km/h),Visibility (km),Stn Press (kPa),Day_Of_Week,Is_Weekend,Is_Holiday
2017-12-01,0,0,0,1,1,1,1,0.0,1.0,0.0,2.0,0.0,1.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,1.0,2.0,0.0,2.0,0.0,0.0,5,7.365666666666665,-11.166666666666666,41.66666666666666,22.166666666666668,9.333333333333334,50.96666666666667,88.295,4,0,0
2017-12-01,1,1,1,1,1,1,1,0.0,0.0,2.0,1.0,1.0,1.0,0.0,1.0,0.0,2.0,2.0,0.0,3.0,4.0,1.0,2.0,5.0,6.0,3.0,2.0,1.0,1.0,1.0,1.0,10,2.4226666666666654,-12.283333333333331,26.33333333333333,18.666666666666668,8.166666666666666,64.4,88.16166666666668,4,0,0
2017-12-01,2,0,0,1,1,0,1,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,3,4.556,-11.033333333333331,40.333333333333336,19.33333333333333,5.333333333333333,30.816666666666663,88.13499999999999,4,0,0
2017-12-01,3,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.6936666666666665,-10.316666666666666,41.0,25.83333333333333,15.5,24.100000000000005,88.38499999999999,4,0,0
2017-12-02,0,1,1,1,1,1,0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,2.0,2.0,0.0,1.0,1.0,0.0,2.0,0.0,8,12.478666666666664,-9.5,68.16666666666667,19.33333333333333,6.333333333333333,48.28333333333334,88.145,5,1,0
2017-12-02,1,0,1,1,0,0,1,2.0,0.0,0.0,2.0,1.0,1.0,1.0,0.0,1.0,0.0,2.0,2.0,2.0,3.0,4.0,1.0,2.0,5.0,6.0,3.0,2.0,1.0,1.0,1.0,7,13.038666666666668,-8.85,53.16666666666666,27.166666666666668,21.166666666666668,49.63333333333333,88.295,5,1,0
2017-12-02,2,0,1,1,0,0,1,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,1.0,5,0.2106666666666666,-6.366666666666667,87.5,23.33333333333333,6.166666666666667,14.766666666666666,88.37333333333333,5,1,0
2017-12-02,3,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,6.325666666666666,-9.75,62.833333333333336,19.83333333333333,6.666666666666667,24.100000000000005,88.17,5,1,0
2017-12-03,0,0,0,0,0,0,0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,2.0,2.0,1.0,0.0,1.0,2.0,2.0,2.0,0.0,0.0,1.0,0.0,2.0,0,1.606666666666667,-8.25,81.16666666666667,31.33333333333333,9.666666666666666,31.683333333333337,88.18166666666667,6,1,0
2017-12-03,1,0,0,1,0,0,1,0.0,2.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,2.0,0.0,2.0,3.0,4.0,0.0,2.0,5.0,6.0,5.0,2.0,1.0,1.0,4,1.271,-10.95,59.333333333333336,18.33333333333333,23.0,40.25,88.53666666666668,6,1,0
2017-12-03,2,0,0,0,0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,3.0,1.0,1.0,0.0,0,0.047,-11.95,59.0,29.0,9.666666666666666,21.433333333333337,89.00833333333333,6,1,0
2017-12-03,3,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,1.2190000000000003,-8.416666666666666,90.0,20.33333333333333,3.6666666666666665,10.766666666666667,88.15666666666665,6,1,0
2017-12-04,0,0,0,1,1,1,1,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,1.0,0.0,7,3.530666666666666,-14.7,44.833333333333336,26.5,12.833333333333334,52.31666666666667,89.27999999999999,0,0,0
2017-12-04,1,1,1,1,0,1,1,0.0,0.0,2.0,0.0,0.0,1.0,1.0,1.0,3.0,1.0,1.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,2.0,5.0,1.0,5.0,2.0,1.0,7,0.263,-14.816666666666668,30.0,27.83333333333333,17.333333333333332,64.4,89.25666666666666,0,0,0
2017-12-04,2,1,0,1,0,1,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,5,0.3479999999999999,-12.266666666666666,35.5,27.0,17.833333333333332,24.100000000000005,89.08,0,0,0
2017-12-04,3,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,22.269966988318505,-10.608450144954356,61.29533188382332,24.0,10.789290464349738,22.528125626435983,89.13607193110282,0,0,0
2017-12-05,0,0,1,0,1,0,1,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,2.0,0.0,2.0,1.0,1.0,0.0,2.0,2.0,3.0,0.0,0.0,1.0,5,3.272,-11.016666666666666,39.833333333333336,33.166666666666664,17.666666666666668,50.96666666666667,89.55,1,0,0
2017-12-05,1,1,0,1,1,1,0,1.0,0.0,0.0,2.0,1.0,0.0,1.0,1.0,1.0,3.0,1.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,2.0,3.0,1.0,5.0,2.0,7,3.0199999999999987,-12.183333333333332,29.83333333333333,34.0,27.0,64.4,89.935,1,0,0
2017-12-05,2,0,1,1,1,0,0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,4,1.5776666666666666,-12.216666666666669,41.0,32.333333333333336,15.0,24.100000000000005,90.36,1,0,0
2017-12-05,3,0,1,1,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4,0.3,-11.583333333333334,34.666666666666664,28.666666666666668,29.0,24.100000000000005,89.13666666666667,1,0,0
2017-12-06,0,1,1,1,1,0,1,0.0,0.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,2.0,0.0,2.0,0.0,1.0,0.0,2.0,2.0,3.0,0.0,0.0,8,4.019999999999999,-11.466666666666669,50.5,23.166666666666668,8.833333333333334,50.96666666666667,90.75666666666666,2,0,0
2017-12-06,1,1,0,1,1,1,1,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,1.0,3.0,1.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,3.0,1.0,5.0,10,0.8936666666666667,-11.883333333333333,31.666666666666668,24.166666666666668,9.0,64.4,90.565,2,0,0
2017-12-06,2,1,0,0,1,0,1,0.0,3.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,4,0.1986666666666666,-10.7,37.66666666666666,26.666666666666668,7.166666666666667,24.100000000000005,90.39333333333332,2,0,0
2017-12-06,3,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0,3.177666666666666,-11.966666666666669,45.16666666666666,28.666666666666668,14.666666666666666,24.100000000000005,90.63833333333334,2,0,0
2017-12-07,0,0,0,0,1,1,1,1.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,3.0,0.0,1.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,2.0,2.0,3.0,0.0,6,6.341666666666667,-9.166666666666666,45.5,22.0,9.0,52.31666666666667,90.22833333333334,3,0,0
2017-12-07,1,1,1,1,1,0,1,2.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,1.0,3.0,2.0,1.0,0.0,0.0,3.0,2.0,1.0,0.0,2.0,0.0,3.0,1.0,11,1.3496666666666663,-11.15,20.5,24.666666666666668,8.166666666666666,64.4,90.12166666666668,3,0,0
