Date,Time_Period,Temp (°C),Dew Point Temp (°C),Rel Hum (%),Wind Dir (10s deg),Wind Spd (km/h),Visibility (km),Stn Press (kPa),Day_Of_Week,Is_Weekend,Is_Holiday
2015-01-01,0,0.7866666666666666,-8.383333333333333,66.0,21.833333333333332,8.666666666666666,44.25,88.925,3,0,0
2015-01-01,1,0.8096666666666668,-5.0,69.83333333333333,22.0,3.8333333333333335,55.0,88.83999999999999,3,0,0
2015-01-01,2,1.0496666666666663,-6.133333333333333,83.0,21.0,4.5,24.100000000000005,88.61333333333334,3,0,0
2015-01-01,3,2.957666666666667,-8.5,63.166666666666664,20.166666666666668,6.833333333333333,24.100000000000005,88.985,3,0,0
2015-01-02,0,2.6870000000000003,-6.516666666666666,93.66666666666667,11.0,16.0,0.7000000000000001,87.815,4,0,0
2015-01-02,1,6.8376666666666654,-15.950000000000001,82.66666666666667,18.666666666666668,33.5,2.1999999999999997,88.59333333333332,4,0,0
2015-01-02,2,0.29766666666666897,-20.233333333333334,78.33333333333333,29.666666666666668,19.5,3.6833333333333336,89.37,4,0,0
2015-01-02,3,1.1866666666666674,-6.099999999999999,92.66666666666667,17.833333333333332,9.333333333333334,21.433333333333337,88.08333333333333,4,0,0
2015-01-03,0,0.05466666666666724,-22.516666666666666,76.33333333333333,29.166666666666668,11.5,9.433333333333332,89.96166666666666,5,1,0
2015-01-03,1,0.445666666666666,-23.316666666666666,73.0,2.3333333333333335,17.333333333333332,4.433333333333333,90.11166666666666,5,1,0
2015-01-03,2,112.65241184911159,-20.241783478287687,72.46199855048998,12.333333333333334,6.955957131016404,11.01145895976932,90.03940526443614,5,1,0
2015-01-03,3,0.3496666666666689,-22.21666666666667,78.66666666666667,29.0,8.5,11.033333333333333,89.70166666666667,5,1,0
2015-01-04,0,2.1386666666666674,-27.083333333333332,71.0,29.166666666666668,7.0,27.650000000000002,90.33999999999999,6,1,0
2015-01-04,1,0.12566666666666632,-24.566666666666666,66.66666666666667,18.833333333333332,11.666666666666666,61.71666666666667,90.01666666666667,6,1,0
2015-01-04,2,0.8736666666666657,-23.0,76.0,17.666666666666668,23.833333333333332,10.450000000000001,89.03500000000001,6,1,0
2015-01-04,3,0.21466666666666628,-26.566666666666666,71.5,12.833333333333334,11.333333333333334,8.883333333333333,90.31333333333333,6,1,0
2015-01-05,0,1.4480000000000015,-21.583333333333332,70.5,34.833333333333336,21.0,27.366666666666664,89.265,0,0,0
2015-01-05,1,0.00966666666666655,-19.416666666666668,69.0,5.5,8.0,59.03333333333334,89.62833333333333,0,0,0
2015-01-05,2,0.3066666666666659,-18.733333333333334,66.66666666666667,11.0,3.3333333333333335,20.633333333333336,89.84333333333335,0,0,0
2015-01-05,3,0.534666666666668,-21.583333333333332,78.16666666666667,15.333333333333334,18.833333333333332,15.300000000000002,88.415,0,0,0
2015-01-06,0,0.06666666666666692,-17.866666666666667,79.5,15.833333333333334,7.5,3.3333333333333335,90.61166666666666,1,0,0
2015-01-06,1,0.0066666666666666385,-17.683333333333334,77.16666666666667,8.833333333333334,8.333333333333334,4.966666666666667,91.02166666666666,1,0,0
2015-01-06,2,0.22966666666666652,-17.3,80.16666666666667,16.5,16.0,9.4,91.23,1,0,0
2015-01-06,3,0.364,-17.650000000000002,80.5,5.333333333333333,10.0,2.4166666666666665,90.05333333333334,1,0,0
2015-01-07,0,0.9416666666666661,-15.799999999999999,78.66666666666667,19.166666666666668,20.333333333333332,40.78333333333334,89.80833333333334,2,0,0
2015-01-07,1,43.47066666666667,-6.383333333333333,64.0,25.166666666666668,11.0,64.4,89.11,2,0,0
2015-01-07,2,9.116,-2.6833333333333336,76.16666666666667,35.333333333333336,27.333333333333332,24.100000000000005,89.40499999999999,2,0,0
2015-01-07,3,0.13199999999999998,-17.45,79.83333333333333,18.0,24.666666666666668,15.300000000000002,90.78833333333334,2,0,0
2015-01-08,0,0.2016666666666666,-16.51666666666667,69.66666666666667,34.166666666666664,23.5,28.7,90.81833333333333,3,0,0
2015-01-08,1,1.4496666666666675,-20.45,54.666666666666664,24.333333333333332,15.5,64.4,90.88833333333334,3,0,0
2015-01-08,2,0.8040000000000032,-21.566666666666666,68.83333333333333,19.0,7.166666666666667,24.100000000000005,90.58999999999999,3,0,0
2015-01-08,3,9.78266666666667,-12.633333333333333,77.33333333333333,36.0,43.666666666666664,15.299999999999999,90.21,3,0,0
2015-01-09,0,9.361666666666673,-22.066666666666666,79.16666666666667,20.333333333333332,7.0,45.6,89.30333333333334,4,0,0
2015-01-09,1,3.0479999999999996,-12.183333333333332,68.83333333333333,20.666666666666668,5.166666666666667,64.4,88.67666666666666,4,0,0
2015-01-09,2,4.388,-11.766666666666667,56.666666666666664,29.5,7.666666666666667,24.100000000000005,88.59500000000001,4,0,0
2015-01-09,3,2.227999999999997,-23.099999999999998,77.5,19.833333333333332,7.833333333333333,24.100000000000005,89.92,4,0,0
2015-01-10,0,0.29866666666666747,-12.366666666666667,77.83333333333333,7.5,9.5,21.71666666666667,88.77666666666666,5,1,0
2015-01-10,1,0.005666666666666727,-13.5,74.66666666666667,15.666666666666666,11.333333333333334,23.066666666666666,88.59833333333334,5,1,0
2015-01-10,2,0.3590000000000001,-13.683333333333332,83.66666666666667,11.0,9.5,2.1999999999999997,88.89666666666666,5,1,0
2015-01-10,3,3.539,-9.733333333333333,69.5,29.5,14.833333333333334,21.433333333333337,88.78500000000001,5,1,0
2015-01-11,0,3.1479999999999997,-18.783333333333335,82.83333333333333,20.833333333333332,1.1666666666666667,27.783333333333335,89.42,6,1,0
