Date,Time_Period,Cluster0,Cluster1,Cluster2,Cluster3,Cluster4,Cluster5,C0D-1HA,C0D-2HA,C0D-3HA,C0D-4HA,C1D-1HA,C1D-2HA,C1D-3HA,C1D-4HA,C2D-1HA,C2D-2HA,C2D-3HA,C2D-4HA,C3D-1HA,C3D-2HA,C3D-3HA,C3D-4HA,C4D-1HA,C4D-2HA,C4D-3HA,C4D-4HA,C5D-1HA,C5D-2HA,C5D-3HA,C5D-4HA,Total_Accidents,Temp (°C),Dew Point Temp (°C),Rel Hum (%),Wind Dir (10s deg),Wind Spd (km/h),Visibility (km),Stn Press (kPa),Day_Of_Week,Is_Weekend,Is_Holiday
2021-12-01,0,0,1,0,1,0,0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,2.0,2.0,0.0,6.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,6.0,4,7.901666666666666,-1.4166666666666667,63.16666666666666,8.0,21.5,33.25,88.02666666666666,2,0,0
2021-12-01,1,1,1,1,1,1,0,0.0,2.0,0.0,3.0,0.0,1.0,0.0,0.0,1.0,0.0,5.0,2.0,3.0,2.0,1.0,0.0,5.0,4.0,2.0,2.0,4.0,2.0,2.0,2.0,10,0.4440000000000001,-0.3499999999999999,94.66666666666669,6.666666666666667,9.166666666666666,5.616666666666667,88.37,2,0,0
2021-12-01,2,0,1,0,1,1,1,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,6,0.0109999999999999,-0.8166666666666668,96.0,17.666666666666668,11.0,5.333333333333333,88.48333333333333,2,0,0
2021-12-01,3,0,0,0,1,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1,5.128,-1.3,45.0,25.33333333333333,15.666666666666666,24.100000000000005,87.47166666666668,2,0,0
2021-12-02,0,0,0,0,1,1,1,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,4,2.3056666666666668,-2.6,91.16666666666669,21.666666666666668,15.0,20.11666666666667,88.185,3,0,0
2021-12-02,1,1,1,0,0,0,1,1.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,2.0,1.0,0.0,5.0,2.0,3.0,2.0,1.0,4.0,5.0,4.0,2.0,0.0,4.0,2.0,2.0,5,0.9546666666666668,-3.3166666666666664,85.16666666666667,14.666666666666666,17.0,24.383333333333336,88.79833333333333,3,0,0
2021-12-02,2,0,1,1,0,1,0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,6,0.3786666666666667,-5.633333333333333,80.33333333333333,8.5,9.0,19.3,89.22666666666667,3,0,0
2021-12-02,3,1,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,3,0.6150000000000001,-1.85,93.5,17.333333333333332,16.5,7.816666666666666,88.19166666666666,3,0,0
2021-12-03,0,0,1,0,1,1,1,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,10,0.952,-7.233333333333333,85.0,19.5,10.333333333333334,49.616666666666674,89.57333333333334,4,0,0
2021-12-03,1,0,1,1,1,1,1,2.0,1.0,0.0,2.0,2.0,1.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,2.0,3.0,2.0,0.0,4.0,5.0,4.0,1.0,0.0,4.0,2.0,8,0.799,-8.583333333333334,64.0,23.83333333333333,8.5,59.03333333333334,89.58666666666666,4,0,0
2021-12-03,2,1,0,1,1,1,1,0.0,0.0,1.0,0.0,2.0,1.0,1.0,1.0,2.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,9,1.3816666666666657,-10.566666666666666,68.33333333333333,21.166666666666668,9.0,24.100000000000005,89.47833333333334,4,0,0
