Date,Time_Period,Cluster0,Cluster1,Cluster2,Cluster3,Cluster4,Cluster5,C0D-1HA,C0D-2HA,C0D-3HA,C0D-4HA,C1D-1HA,C1D-2HA,C1D-3HA,C1D-4HA,C2D-1HA,C2D-2HA,C2D-3HA,C2D-4HA,C3D-1HA,C3D-2HA,C3D-3HA,C3D-4HA,C4D-1HA,C4D-2HA,C4D-3HA,C4D-4HA,C5D-1HA,C5D-2HA,C5D-3HA,C5D-4HA,Total_Accidents,Temp (°C),Dew Point Temp (°C),Rel Hum (%),Wind Dir (10s deg),Wind Spd (km/h),Visibility (km),Stn Press (kPa),Day_Of_Week,Is_Weekend,Is_Holiday
2018-12-01,0,0,0,0,0,0,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,4.0,0.0,2.0,2.0,0.0,1,0.039,-6.516666666666667,84.5,33.833333333333336,13.666666666666666,8.916666666666668,88.43666666666667,5,1,0
2018-12-01,1,1,0,1,0,0,0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,3.0,3.0,1.0,0.0,0.0,3.0,4,0.0746666666666666,-4.816666666666667,86.0,35.333333333333336,17.833333333333332,2.733333333333333,88.48833333333333,5,1,0
2018-12-01,2,0,1,1,1,1,1,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,2.0,3.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,10,0.1016666666666666,-4.783333333333333,90.33333333333331,35.166666666666664,16.666666666666668,3.1333333333333333,88.57166666666666,5,1,0
2018-12-01,3,0,0,0,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2,0.0706666666666668,-7.05,79.66666666666667,35.0,11.0,20.633333333333336,88.27999999999999,5,1,0
2018-12-02,0,1,1,1,0,1,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,2.0,10,0.0576666666666666,-5.666666666666667,86.66666666666667,33.833333333333336,20.0,3.0666666666666664,88.75666666666666,6,1,0
2018-12-02,1,1,0,1,1,0,1,2.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,2.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,5,0.3536666666666666,-5.516666666666667,82.66666666666667,33.833333333333336,14.0,20.916666666666668,88.94500000000001,6,1,0
2018-12-02,2,0,0,0,0,1,0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,2.0,0.0,0.0,1.0,3.0,0.0,3.0,1.0,0.0,0.0,0.0,6.0,1.0,0.0,0.0,2,0.1310000000000002,-7.899999999999999,76.5,32.5,13.333333333333334,19.3,89.2,6,1,0
2018-12-02,3,1,0,1,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4,0.0386666666666666,-5.5,89.5,35.833333333333336,17.833333333333332,4.0,88.63,6,1,0
2018-12-03,0,0,1,0,1,1,1,2.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,10,14.339460477088656,-6.391783478287688,73.96199855048998,25.0,9.289290464349737,31.678125626435985,89.34107193110282,0,0,0
2018-12-03,1,0,1,1,1,1,0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,11,1.0376666666666667,-7.633333333333333,70.0,20.666666666666668,5.333333333333333,61.71666666666667,89.42,0,0,0
