iter	Logloss
0	0.6706751302
1	0.6493625237
2	0.6296016012
3	0.6096413987
4	0.5917793819
5	0.5744589463
6	0.5591923733
7	0.544564962
8	0.5287141413
9	0.5153924031
10	0.5021210705
11	0.4879726072
12	0.4752713129
13	0.4645861195
14	0.4547074447
15	0.4426552297
16	0.4334254801
17	0.4233480913
18	0.4137560281
19	0.405453613
20	0.3981061887
21	0.3919368685
22	0.3845405317
23	0.3790304631
24	0.372730519
25	0.3677704039
26	0.3619643722
27	0.357540793
28	0.3521211571
29	0.3472005423
30	0.343038599
31	0.3400237641
32	0.3369353468
33	0.333533789
34	0.3305271523
35	0.3276126252
36	0.3249797427
37	0.3210077458
38	0.3180850076
39	0.3149325338
40	0.3121560265
41	0.3100212773
42	0.307253718
43	0.3049988105
44	0.3017542672
45	0.3002259535
46	0.2980109993
47	0.295671613
48	0.293687958
49	0.2907140068
50	0.2885262539
51	0.2856574005
52	0.2833582584
53	0.2826160331
54	0.2818548545
55	0.2809539425
56	0.280194084
57	0.2784355978
58	0.2771274961
59	0.2761557999
60	0.2740036305
61	0.2725053573
62	0.271028349
63	0.2699823899
64	0.2686626737
65	0.26682028
66	0.2658397138
67	0.2639556884
68	0.2628134502
69	0.2611326859
70	0.2599461919
71	0.2588072801
72	0.2582335248
73	0.2576694047
74	0.2570172069
75	0.2561101767
76	0.2546912767
77	0.253827226
78	0.2534430221
79	0.2533046709
80	0.2525308063
81	0.2520467323
82	0.2513651361
83	0.2503709431
84	0.2502024225
85	0.2491051853
86	0.2479701998
87	0.2476353267
88	0.246086022
89	0.2450730477
90	0.2445033389
91	0.2430042215
92	0.2426119747
93	0.2412593453
94	0.239858659
95	0.2390249686
96	0.2381757039
97	0.2377918571
98	0.2365162721
99	0.235477586
100	0.2351350815
101	0.2343585156
102	0.2334225368
103	0.2329431096
104	0.231570202
105	0.2308461882
106	0.2305419028
107	0.230351336
108	0.2295649996
109	0.2290275232
110	0.2287882849
111	0.228449269
112	0.2276216961
113	0.2268510797
114	0.2264493227
115	0.2253917538
116	0.2247486153
117	0.224169248
118	0.2236309882
119	0.2224455262
120	0.2219753699
121	0.2207491534
122	0.2202280519
123	0.2197348246
124	0.2191080968
125	0.2181746648
126	0.2178469978
127	0.2174681332
128	0.2163237559
129	0.2156534502
130	0.2150685295
131	0.2144219087
132	0.2140982615
133	0.2134320541
134	0.2130114733
135	0.2127779784
136	0.2122923721
137	0.2121658563
138	0.2109978522
139	0.2102963486
140	0.2101532052
141	0.2100949737
142	0.209940628
143	0.2085545963
144	0.2080313874
145	0.2076953717
146	0.2075423484
147	0.2070292289
148	0.2067769872
149	0.206159688
150	0.2058692937
151	0.2050621523
152	0.2044044958
153	0.2041187497
154	0.2040259158
155	0.2039029798
156	0.2029031506
157	0.2025343095
158	0.2019999314
159	0.2016148972
160	0.2010203886
161	0.2005853958
162	0.2003322084
163	0.2000783449
164	0.2000006256
165	0.1995811601
166	0.1981656872
167	0.1980674835
168	0.1975933571
169	0.1969129185
170	0.1966911817
171	0.1962566133
172	0.1956632787
173	0.1949477329
174	0.1941618403
175	0.1941261817
176	0.1933072443
177	0.1931509226
178	0.1929548779
179	0.1923861594
180	0.1914170041
181	0.1910372894
182	0.1908119977
183	0.1903734918
184	0.1898284267
185	0.1894517408
186	0.1886561496
187	0.1882037313
188	0.1876073119
189	0.1867920775
190	0.186528205
191	0.1856841042
192	0.1851659208
193	0.1843577734
194	0.1841547823
195	0.1830626322
196	0.1827015409
197	0.1818908122
198	0.1817158364
199	0.1813508511
200	0.1807766621
201	0.1805273327
202	0.180272324
203	0.180065013
204	0.1795084391
205	0.1787570148
206	0.1782115393
207	0.1780179371
208	0.1770648078
209	0.1769160766
210	0.1764513557
211	0.1761589102
212	0.1759747502
213	0.1758362753
214	0.175769705
215	0.175729508
216	0.1748372471
217	0.1742523194
218	0.1731915842
219	0.172562073
220	0.1725131922
221	0.1716737634
222	0.1714590221
223	0.1707904982
224	0.170632391
225	0.1703703243
226	0.1702761031
227	0.1702028605
228	0.1699261072
229	0.1697786211
230	0.1694025278
231	0.1686440402
232	0.1683128118
233	0.1677269859
234	0.1671353975
235	0.1669192419
236	0.1668913285
237	0.166147958
238	0.1659303969
239	0.1656674337
240	0.1653683782
241	0.1651091378
242	0.1648423105
243	0.1638744167
244	0.1627352508
245	0.161962143
246	0.1618439546
247	0.1617066825
248	0.1616717528
249	0.1614629279
250	0.1613101309
251	0.1611199609
252	0.1610481161
253	0.1608302534
254	0.1606856039
255	0.1604423367
256	0.1601622406
257	0.1598798775
258	0.1597900445
259	0.1593237307
260	0.1592180069
261	0.1590979818
262	0.1589591925
263	0.158840062
264	0.1587912096
265	0.1578209163
266	0.157474515
267	0.1572235981
268	0.1570575975
269	0.1570020506
270	0.1568488552
271	0.1567873368
272	0.156720957
273	0.1565798919
274	0.1565118987
275	0.1563946137
276	0.1563462789
277	0.156302354
278	0.1562627895
279	0.156220802
280	0.1561457029
281	0.1560954602
282	0.1559327034
283	0.1550541898
284	0.154957877
285	0.1547291257
286	0.154480859
287	0.1544168042
288	0.1542045926
289	0.1541480305
290	0.1541153052
291	0.1536124521
292	0.1525928273
293	0.1525312657
294	0.1523810448
295	0.15232705
296	0.152313114
297	0.1522799158
298	0.1521879116
299	0.1521445052
